Epoch,Train_Task,Eval_Task,SGD_Accuracy,EWC_Accuracy,L2_Accuracy
1,0,0,0.7184,0.7099,0.718
2,0,0,0.7965,0.8127,0.7984
3,0,0,0.8539,0.8547,0.8486
4,0,0,0.8758,0.8773,0.8722
5,0,0,0.8863,0.8882,0.8835
6,0,0,0.8953,0.8967,0.8925
7,0,0,0.9002,0.9019,0.898
8,0,0,0.9054,0.9054,0.904
9,0,0,0.908,0.9083,0.9067
10,0,0,0.9103,0.9107,0.9081
11,0,0,0.9145,0.9133,0.9115
12,0,0,0.9161,0.916,0.913
13,0,0,0.9193,0.9183,0.9162
14,0,0,0.9216,0.9217,0.9181
15,0,0,0.9226,0.9227,0.9208
16,0,0,0.9238,0.9231,0.9224
17,0,0,0.9257,0.9271,0.9242
18,0,0,0.9266,0.9274,0.9245
19,0,0,0.9276,0.9289,0.9261
20,0,0,0.9299,0.929,0.9274
1,1,0,0.9269,0.927,0.9255
2,1,0,0.9236,0.9263,0.9243
3,1,0,0.9229,0.9262,0.9216
4,1,0,0.9224,0.9256,0.9215
5,1,0,0.9232,0.9248,0.922
6,1,0,0.9233,0.926,0.9212
7,1,0,0.9235,0.9269,0.9209
8,1,0,0.923,0.9259,0.9206
9,1,0,0.9239,0.9257,0.9218
10,1,0,0.9248,0.926,0.9217
11,1,0,0.9246,0.9266,0.9219
12,1,0,0.9264,0.9268,0.9225
13,1,0,0.9267,0.9273,0.9237
14,1,0,0.9273,0.9279,0.9242
15,1,0,0.9275,0.9284,0.9251
16,1,0,0.9291,0.9272,0.9263
17,1,0,0.929,0.9272,0.9256
18,1,0,0.9292,0.9281,0.9271
19,1,0,0.93,0.9275,0.9277
20,1,0,0.9308,0.9289,0.9285
1,1,1,0.9162,0.9142,0.915
2,1,1,0.9217,0.9195,0.9196
3,1,1,0.9246,0.9216,0.9237
4,1,1,0.9265,0.9227,0.9261
5,1,1,0.9291,0.9229,0.9282
6,1,1,0.9299,0.9243,0.9298
7,1,1,0.9318,0.9261,0.9317
8,1,1,0.9347,0.9266,0.9325
9,1,1,0.9364,0.9257,0.9344
10,1,1,0.9372,0.9275,0.9355
11,1,1,0.9381,0.9276,0.9373
12,1,1,0.9396,0.9276,0.9387
13,1,1,0.9412,0.9285,0.9393
14,1,1,0.9423,0.9293,0.9399
15,1,1,0.9424,0.9304,0.941
16,1,1,0.9439,0.93,0.9415
17,1,1,0.9458,0.9309,0.9426
18,1,1,0.9456,0.9312,0.9437
19,1,1,0.9473,0.9305,0.9439
20,1,1,0.9475,0.9317,0.9462
1,2,0,0.9146,0.9146,0.9139
2,2,0,0.9082,0.9114,0.9087
3,2,0,0.9034,0.9099,0.9042
4,2,0,0.9024,0.9079,0.9008
5,2,0,0.899,0.9074,0.8993
6,2,0,0.8975,0.9078,0.8962
7,2,0,0.894,0.9061,0.8971
8,2,0,0.8952,0.9079,0.8949
9,2,0,0.8937,0.9052,0.8941
