Epoch,Train_Task,Eval_Task,SGD_Accuracy,EWC_Accuracy,L2_Accuracy
1,0,0,0.9351,0.9427,0.9425
2,0,0,0.9479,0.9526,0.955
3,0,0,0.9603,0.9615,0.9601
4,0,0,0.9631,0.9636,0.9634
5,0,0,0.9652,0.9665,0.9642
6,0,0,0.9658,0.9666,0.9662
7,0,0,0.967,0.9677,0.9672
8,0,0,0.9687,0.9688,0.9687
9,0,0,0.9678,0.9688,0.9691
10,0,0,0.9684,0.9697,0.9686
11,0,0,0.9688,0.9705,0.9706
12,0,0,0.9699,0.9701,0.9704
13,0,0,0.9704,0.9723,0.971
14,0,0,0.9685,0.9716,0.9716
15,0,0,0.9704,0.9717,0.9721
16,0,0,0.9704,0.9707,0.9723
17,0,0,0.9711,0.9716,0.9715
18,0,0,0.9711,0.9721,0.972
19,0,0,0.9712,0.9718,0.9727
20,0,0,0.9717,0.9719,0.9723
1,1,0,0.9476,0.96,0.9477
2,1,0,0.9472,0.9631,0.9413
3,1,0,0.9339,0.9605,0.938
4,1,0,0.9369,0.9626,0.9374
5,1,0,0.9318,0.9669,0.9342
6,1,0,0.9278,0.9649,0.9334
7,1,0,0.9227,0.9661,0.9295
8,1,0,0.9303,0.9679,0.9292
9,1,0,0.9298,0.9658,0.9275
10,1,0,0.9227,0.9679,0.9276
11,1,0,0.9288,0.9694,0.9236
12,1,0,0.9248,0.9689,0.9236
13,1,0,0.9222,0.9689,0.9215
14,1,0,0.9246,0.9695,0.9202
15,1,0,0.9247,0.9694,0.92
16,1,0,0.9211,0.969,0.9185
17,1,0,0.9237,0.9686,0.9171
18,1,0,0.9231,0.9688,0.9163
19,1,0,0.921,0.9695,0.9153
20,1,0,0.9205,0.9691,0.9127
1,1,1,0.9428,0.9324,0.9446
2,1,1,0.9541,0.949,0.9558
3,1,1,0.9593,0.9473,0.961
4,1,1,0.9628,0.9552,0.9645
5,1,1,0.964,0.959,0.9675
6,1,1,0.9683,0.963,0.9682
7,1,1,0.967,0.9609,0.9698
8,1,1,0.9692,0.9627,0.9673
9,1,1,0.97,0.9607,0.9717
10,1,1,0.97,0.9635,0.9703
11,1,1,0.971,0.9653,0.9721
12,1,1,0.9703,0.964,0.9735
13,1,1,0.97,0.9644,0.9739
14,1,1,0.9696,0.9651,0.9734
15,1,1,0.9717,0.9648,0.9733
16,1,1,0.9719,0.9654,0.9732
17,1,1,0.9708,0.9661,0.9741
18,1,1,0.9717,0.9671,0.9751
19,1,1,0.9713,0.9676,0.9742
20,1,1,0.9723,0.966,0.9748
1,2,0,0.8195,0.9545,0.8758
2,2,0,0.7768,0.9518,0.8711
3,2,0,0.7986,0.9585,0.8578
4,2,0,0.7879,0.9581,0.8531
5,2,0,0.7686,0.957,0.8453
6,2,0,0.7598,0.9601,0.8378
7,2,0,0.7518,0.9593,0.8358
8,2,0,0.741,0.962,0.836
9,2,0,0.7473,0.9596,0.8353
10,2,0,0.7472,0.9613,0.8307
11,2,0,0.7388,0.9601,0.8192
12,2,0,0.747,0.965,0.819
13,2,0,0.7392,0.9615,0.8115
14,2,0,0.7454,0.9631,0.8087
15,2,0,0.7358,0.9632,0.8079
16,2,0,0.7382,0.9645,0.8068
17,2,0,0.7345,0.9628,0.8047
18,2,0,0.7307,0.9638,0.8041
19,2,0,0.7346,0.9633,0.8001
20,2,0,0.7335,0.9645,0.798
1,2,1,0.9304,0.9606,0.942
2,2,1,0.9285,0.9619,0.9378
3,2,1,0.9265,0.9647,0.9257
4,2,1,0.925,0.9657,0.9188
5,2,1,0.9202,0.9632,0.9248
6,2,1,0.9172,0.9641,0.9248
7,2,1,0.9161,0.9644,0.9187
8,2,1,0.9102,0.965,0.919
9,2,1,0.9138,0.9635,0.9187
10,2,1,0.9131,0.9655,0.9191
11,2,1,0.9108,0.9645,0.9134
12,2,1,0.909,0.9642,0.9086
13,2,1,0.9092,0.9649,0.9097
14,2,1,0.9086,0.9644,0.9141
15,2,1,0.9096,0.9652,0.9132
16,2,1,0.9085,0.9656,0.9063
17,2,1,0.9072,0.9651,0.9111
18,2,1,0.9068,0.9648,0.9087
19,2,1,0.906,0.9646,0.9089
20,2,1,0.9052,0.9652,0.9064
1,2,2,0.937,0.9345,0.9451
2,2,2,0.9567,0.9353,0.9528
3,2,2,0.9604,0.9518,0.9608
4,2,2,0.9632,0.9514,0.9615
5,2,2,0.9674,0.9524,0.9648
6,2,2,0.9699,0.9561,0.9654
7,2,2,0.973,0.9571,0.9662
8,2,2,0.9701,0.9588,0.967
9,2,2,0.9717,0.9542,0.968
10,2,2,0.9739,0.9598,0.969
11,2,2,0.9748,0.9613,0.9682
12,2,2,0.9733,0.9561,0.97
13,2,2,0.9749,0.9602,0.9698
14,2,2,0.9741,0.9625,0.9703
15,2,2,0.9748,0.9599,0.9689
16,2,2,0.9754,0.9637,0.9702
17,2,2,0.9752,0.9606,0.9698
18,2,2,0.9764,0.9623,0.9716
19,2,2,0.9767,0.9602,0.9715
20,2,2,0.9761,0.9629,0.9722
