Epoch,Train_Task,Eval_Task,SGD_Accuracy,EWC_Accuracy,L2_Accuracy
1,0,0,0.4683,0.4701,
2,0,0,0.6142,0.6411,
3,0,0,0.6311,0.6845,
4,0,0,0.6578,0.7076,
5,0,0,0.6948,0.7321,
6,0,0,0.7432,0.7601,
7,0,0,0.7919,0.7956,
8,0,0,0.8111,0.8121,
9,0,0,0.8244,0.8246,
10,0,0,0.8362,0.8356,
11,0,0,0.8454,0.8483,
12,0,0,0.8563,0.8573,
13,0,0,0.8617,0.8629,
14,0,0,0.8682,0.8686,
15,0,0,0.8746,0.873,
16,0,0,0.8772,0.8758,
17,0,0,0.8807,0.8817,
18,0,0,0.883,0.8834,
19,0,0,0.8864,0.8862,
20,0,0,0.8883,0.8881,
1,1,0,0.887,0.8882,
2,1,0,0.8862,0.8883,
3,1,0,0.8857,0.8881,
4,1,0,0.8852,0.8876,
5,1,0,0.8844,0.888,
6,1,0,0.8844,0.888,
7,1,0,0.885,0.8875,
8,1,0,0.885,0.8878,
9,1,0,0.8866,0.8879,
10,1,0,0.8862,0.8878,
11,1,0,0.8864,0.8883,
12,1,0,0.887,0.8879,
13,1,0,0.885,0.8887,
14,1,0,0.8867,0.8878,
15,1,0,0.8879,0.8891,
16,1,0,0.8876,0.8882,
17,1,0,0.8875,0.8892,
18,1,0,0.8872,0.8899,
19,1,0,0.888,0.8901,
20,1,0,0.8883,0.89,
1,1,1,0.872,0.8703,
2,1,1,0.878,0.8771,
3,1,1,0.8823,0.8811,
4,1,1,0.8867,0.8846,
5,1,1,0.8883,0.8864,
6,1,1,0.8904,0.8877,
7,1,1,0.8918,0.8899,
8,1,1,0.8935,0.8904,
9,1,1,0.8949,0.8916,
10,1,1,0.8966,0.8927,
11,1,1,0.8988,0.8938,
12,1,1,0.8997,0.8948,
13,1,1,0.9006,0.8953,
14,1,1,0.9018,0.896,
15,1,1,0.9035,0.8964,
16,1,1,0.9028,0.8973,
17,1,1,0.9042,0.8973,
18,1,1,0.9057,0.8983,
19,1,1,0.9052,0.8983,
20,1,1,0.9068,0.899,
1,2,0,0.8759,0.8801,
2,2,0,0.8701,0.8746,
3,2,0,0.8645,0.8716,
4,2,0,0.8629,0.8689,
5,2,0,0.8589,0.8658,
6,2,0,0.8583,0.8637,
7,2,0,0.8545,0.8644,
8,2,0,0.8525,0.8618,
9,2,0,0.8492,0.8611,
10,2,0,0.8493,0.8604,
11,2,0,0.8462,0.8589,
12,2,0,0.8458,0.8601,
13,2,0,0.8455,0.858,
14,2,0,0.8439,0.8583,
15,2,0,0.8427,0.8592,
16,2,0,0.8416,0.8583,
17,2,0,0.84,0.8578,
18,2,0,0.8405,0.8568,
19,2,0,0.84,0.8554,
20,2,0,0.8395,0.8556,
1,2,1,0.9058,0.9,
2,2,1,0.9048,0.9002,
3,2,1,0.9041,0.9003,
4,2,1,0.9047,0.9009,
5,2,1,0.9035,0.9008,
6,2,1,0.9036,0.901,
7,2,1,0.9028,0.9004,
