Trial, Learning rate, Hidden layer width, Task 1, Task 2, Task 3, Task 4, Task 5, Task 6, Task 7, Task 8, Task 9, Task 10
1, 0.0001484968262254465, 696, 0.958, 0.9310499999999999, 0.8271666666666667, 0.7093750000000001, 0.6826800000000001, 0.62825, 0.5999142857142857, 0.5422, 0.5052888888888888, 0.5301499999999999
2, 0.00016297508346206434, 1286, 0.9644, 0.9370499999999999, 0.8451333333333334, 0.761225, 0.6968599999999999, 0.63225, 0.5988, 0.568225, 0.5797666666666667, 0.5671299999999999
3, 7.390722033525775e-05, 1349, 0.9576, 0.9248000000000001, 0.8408333333333333, 0.766, 0.7169399999999999, 0.6439500000000001, 0.6130571428571427, 0.5363125, 0.5096666666666666, 0.49359000000000003
4, 0.00031257158496882353, 868, 0.9687, 0.94345, 0.8424, 0.777525, 0.7098000000000001, 0.6191833333333333, 0.6070142857142857, 0.5518500000000001, 0.5482777777777778, 0.5243
5, 0.00019630406500402724, 914, 0.9645, 0.9237, 0.8231999999999999, 0.699075, 0.67836, 0.6488, 0.5512142857142857, 0.5222, 0.5058666666666667, 0.50175
6, 0.0008697490026177834, 419, 0.9737, 0.915, 0.8271333333333333, 0.800625, 0.7940200000000001, 0.7263999999999999, 0.6539571428571429, 0.62445, 0.5768888888888889, 0.58762
7, 0.0001788649529057435, 436, 0.9559, 0.9014500000000001, 0.7888999999999999, 0.6821999999999999, 0.65712, 0.6163333333333333, 0.6052571428571428, 0.567225, 0.5064, 0.52704
8, 5.0941380148163855e-05, 1774, 0.9579, 0.9356500000000001, 0.8810333333333333, 0.8066500000000001, 0.75484, 0.6873666666666667, 0.6412142857142857, 0.5867125, 0.5655, 0.5252100000000001
9, 2.2051307399030455e-05, 426, 0.9215, 0.869, 0.7891, 0.70915, 0.6599999999999999, 0.6401166666666667, 0.5986857142857142, 0.5506500000000001, 0.47477777777777774, 0.49848
10, 4.641588833612782e-05, 1491, 0.9553, 0.92755, 0.8602333333333334, 0.79485, 0.73248, 0.6540833333333333, 0.6377714285714287, 0.6119625, 0.5065555555555555, 0.49996999999999997
11, 6.135907273413175e-05, 1593, 0.9561, 0.93015, 0.8492333333333333, 0.801275, 0.7467600000000001, 0.6827500000000001, 0.6405142857142857, 0.6122000000000001, 0.5699666666666666, 0.57453
12, 0.00020565123083486514, 505, 0.957, 0.9158, 0.8284666666666668, 0.722775, 0.6952200000000001, 0.6366333333333334, 0.5996857142857143, 0.5418625, 0.5266222222222221, 0.52545
13, 2.0092330025650458e-05, 574, 0.9188, 0.88195, 0.8024, 0.7311500000000001, 0.66372, 0.62245, 0.5479857142857142, 0.5069375, 0.4994666666666666, 0.46841
14, 0.0001291549665014884, 1084, 0.9613, 0.925, 0.8326333333333333, 0.7733500000000001, 0.70292, 0.6600833333333335, 0.5939857142857142, 0.5382, 0.5374777777777777, 0.49791999999999986
15, 4.430621457583878e-05, 995, 0.9467, 0.9111, 0.8409333333333334, 0.74515, 0.69964, 0.6526666666666667, 0.5474571428571429, 0.520625, 0.5043666666666666, 0.5263599999999999
16, 0.00017073526474706922, 835, 0.96, 0.91835, 0.8245333333333335, 0.747625, 0.6631199999999999, 0.5926166666666667, 0.5543285714285714, 0.4996625, 0.5119777777777776, 0.50883
17, 2.4201282647943835e-05, 1843, 0.9486, 0.9311, 0.9021666666666667, 0.8532, 0.7792999999999999, 0.7408, 0.7304428571428572, 0.6904375, 0.6081333333333334, 0.60319
18, 4.037017258596558e-05, 717, 0.9375, 0.8928499999999999, 0.7994333333333333, 0.73235, 0.68218, 0.6562166666666666, 0.6576714285714287, 0.593975, 0.5764777777777778, 0.5295
19, 0.0001232846739442066, 1472, 0.9667, 0.93415, 0.8419333333333334, 0.78995, 0.74368, 0.6094499999999999, 0.6356857142857144, 0.5683625, 0.5616888888888889, 0.5749
20, 5.3366992312063123e-05, 1166, 0.9497, 0.9215500000000001, 0.8559, 0.7903, 0.7583, 0.6585333333333333, 0.5722142857142858, 0.5056625, 0.5007333333333333, 0.52181
21, 0.00029836472402833405, 400, 0.9612, 0.9209499999999999, 0.8650666666666668, 0.7089249999999999, 0.72828, 0.6769333333333334, 0.6428857142857142, 0.5629, 0.5408444444444443, 0.5622
22, 0.0003430469286314919, 899, 0.9691, 0.9412, 0.8577333333333333, 0.7508250000000001, 0.69876, 0.6419166666666667, 0.6254285714285714, 0.5775375, 0.5699333333333334, 0.5446699999999999
23, 1.1497569953977357e-05, 559, 0.9086, 0.8699, 0.8150666666666666, 0.741425, 0.69002, 0.5979833333333333, 0.5604, 0.5041375, 0.5191222222222222, 0.48967
24, 6.734150657750829e-05, 1789, 0.9609, 0.93835, 0.8751333333333333, 0.8267249999999999, 0.76226, 0.6851166666666667, 0.6499428571428572, 0.592975, 0.5454444444444444, 0.5442400000000001
25, 0.00027185882427329403, 900, 0.9662, 0.94085, 0.8601666666666666, 0.7752499999999999, 0.73138, 0.6647833333333334, 0.6514285714285714, 0.5740875, 0.5651555555555555, 0.56135
