Trial, Learning rate, Hidden layer width, Task 1, Task 2, Task 3, Task 4, Task 5, Task 6, Task 7, Task 8, Task 9, Task 10
1, 0.00011233240329780277, 1364, 0.9333, 0.9379500000000001, 0.9272999999999999, 0.9037499999999999, 0.86912, 0.8402, 0.8122285714285714, 0.772375, 0.7352555555555556, 0.6988300000000001
2, 1.2045035402587812e-05, 520, 0.8148, 0.8516, 0.8529666666666667, 0.8415250000000001, 0.8232199999999998, 0.7993166666666666, 0.7698285714285714, 0.738675, 0.7104444444444444, 0.68072
3, 0.00017073526474706922, 1509, 0.943, 0.9460999999999999, 0.9355333333333333, 0.91465, 0.88338, 0.8377833333333333, 0.7904857142857143, 0.740325, 0.6966111111111111, 0.6530600000000001
4, 2.2051307399030455e-05, 475, 0.8428, 0.8693, 0.8650666666666668, 0.85455, 0.8333400000000001, 0.8043999999999999, 0.7693571428571427, 0.731125, 0.6919222222222222, 0.6532100000000001
5, 5.0941380148163855e-05, 1821, 0.923, 0.93085, 0.9233666666666668, 0.9057000000000001, 0.87636, 0.8327666666666667, 0.785557142857143, 0.7388000000000001, 0.6951666666666667, 0.65494
6, 7.742636826811278e-05, 1452, 0.9342, 0.9372499999999999, 0.9281, 0.908875, 0.8732599999999999, 0.8277333333333333, 0.7808285714285715, 0.7351749999999999, 0.6930888888888889, 0.65655
7, 0.0005214008287999684, 1217, 0.9537, 0.95665, 0.9493666666666667, 0.926675, 0.88856, 0.8420166666666667, 0.7904857142857143, 0.742375, 0.6919666666666666, 0.6621499999999999
8, 0.0006579332246575682, 637, 0.9486, 0.9507, 0.9417666666666666, 0.920475, 0.8802999999999999, 0.8286666666666668, 0.7742857142857142, 0.7192375, 0.6746333333333333, 0.6337
9, 0.0001873817422860385, 1345, 0.9435, 0.9457, 0.9369333333333333, 0.9141999999999999, 0.8759399999999999, 0.8312166666666667, 0.7848, 0.736475, 0.6901555555555556, 0.6390800000000001
10, 0.0009545484566618347, 814, 0.9561, 0.96165, 0.9531333333333333, 0.930825, 0.89574, 0.8404166666666667, 0.7792428571428571, 0.721575, 0.6765, 0.6554300000000001
11, 0.00032745491628777317, 1938, 0.9566, 0.9588, 0.9491333333333333, 0.9288, 0.8953199999999999, 0.8496, 0.8043142857142858, 0.7558125, 0.7063555555555555, 0.6632300000000001
12, 1.6681005372000593e-05, 1818, 0.8943, 0.9056500000000001, 0.9011333333333335, 0.8873500000000001, 0.8692, 0.8444833333333333, 0.8118571428571428, 0.7761875, 0.7419777777777777, 0.70549
13, 8.497534359086438e-05, 1430, 0.93, 0.93485, 0.9272666666666667, 0.906375, 0.8724400000000001, 0.8283999999999999, 0.7817285714285714, 0.7368250000000001, 0.6990333333333333, 0.6604099999999999
14, 1.5199110829529332e-05, 450, 0.8356, 0.86605, 0.867, 0.85515, 0.8378599999999998, 0.8096166666666665, 0.7748857142857143, 0.7349749999999999, 0.6963333333333332, 0.66003
15, 0.00021544346900318845, 644, 0.9304, 0.93215, 0.9248333333333334, 0.905175, 0.8735199999999999, 0.8254833333333335, 0.7711857142857144, 0.72325, 0.6793777777777777, 0.6412099999999998
16, 0.0002477076355991711, 473, 0.9228, 0.9298500000000001, 0.9220999999999999, 0.9037249999999999, 0.87292, 0.8316833333333333, 0.7802285714285715, 0.7299, 0.6858666666666666, 0.6349099999999999
17, 1.3848863713938746e-05, 943, 0.8605, 0.88175, 0.8784333333333333, 0.865275, 0.84588, 0.8215833333333333, 0.7894285714285714, 0.7544375000000001, 0.7208111111111111, 0.6827300000000001
18, 0.0001788649529057435, 1850, 0.9478, 0.95095, 0.9400666666666667, 0.9231999999999999, 0.88712, 0.8415666666666666, 0.7963571428571428, 0.7475, 0.7046777777777778, 0.66314
19, 3.8535285937105275e-05, 1818, 0.9209, 0.92605, 0.9194999999999999, 0.9037999999999999, 0.87736, 0.8416166666666668, 0.7970714285714285, 0.7528874999999999, 0.7108666666666665, 0.67075
20, 1.6681005372000593e-05, 1153, 0.8832, 0.89795, 0.8918333333333335, 0.8780249999999999, 0.8534799999999999, 0.8258500000000001, 0.7941142857142857, 0.761625, 0.7308777777777777, 0.6940600000000001
21, 0.00020565123083486514, 1243, 0.9425, 0.94615, 0.9362666666666666, 0.91685, 0.8828400000000001, 0.8366833333333333, 0.7867428571428571, 0.73585, 0.6928222222222222, 0.64819
22, 1.047615752789664e-05, 649, 0.8251, 0.85575, 0.8571, 0.8486750000000001, 0.8298400000000001, 0.8003333333333332, 0.7691428571428572, 0.7375625, 0.7085222222222222, 0.67937
23, 1.4508287784959402e-05, 1231, 0.8824, 0.8946000000000001, 0.8914, 0.877525, 0.8584799999999999, 0.8346, 0.8020571428571428, 0.7677499999999999, 0.7344444444444443, 0.70059
24, 0.00020565123083486514, 729, 0.9292, 0.93375, 0.9253666666666667, 0.905025, 0.87066, 0.8291666666666666, 0.7861285714285715, 0.7369125000000001, 0.6831666666666667, 0.631
25, 0.00020565123083486514, 994, 0.9388, 0.9421, 0.9329666666666667, 0.911975, 0.8762399999999999, 0.8330666666666667, 0.7909, 0.7444124999999999, 0.6962222222222222, 0.65046
